index,metabolite
622,metabolite_100009219
623,metabolite_100009225
624,metabolite_100009227
625,metabolite_100009232
626,metabolite_100009233
627,metabolite_100009264
628,metabolite_100009271
629,metabolite_100009272
630,metabolite_100009331
631,metabolite_100009332
632,metabolite_100009333
633,metabolite_100009335
634,metabolite_100009343
635,metabolite_100009345
636,metabolite_100009346
637,metabolite_100009347
638,metabolite_100009350
639,metabolite_100009364
640,metabolite_100009376
641,metabolite_100009378
642,metabolite_100009394
643,metabolite_100009406
644,metabolite_100010850
645,metabolite_100010869
646,metabolite_100010896
647,metabolite_100010901
648,metabolite_100010916
649,metabolite_100010917
650,metabolite_100010918
651,metabolite_100010919
652,metabolite_100010922
653,metabolite_100010925
654,metabolite_100010927
655,metabolite_100010930
656,metabolite_100010936
657,metabolite_100010937
658,metabolite_100010940
659,metabolite_100010941
660,metabolite_100010949
661,metabolite_100010950
662,metabolite_100010955
663,metabolite_100010966
664,metabolite_100015586
665,metabolite_100015587
666,metabolite_100015593
667,metabolite_100015596
668,metabolite_100015618
669,metabolite_100015620
670,metabolite_100015624
671,metabolite_100015625
672,metabolite_100015681
673,metabolite_100015683
674,metabolite_100015687
675,metabolite_100015689
676,metabolite_100015727
677,metabolite_100015735
678,metabolite_100015737
679,metabolite_100015744
680,metabolite_100015745
681,metabolite_100015755
682,metabolite_100015759
683,metabolite_100015760
684,metabolite_100015786
685,metabolite_100015787
686,metabolite_100015788
687,metabolite_100015789
688,metabolite_100015790
689,metabolite_100015791
690,metabolite_100015792
691,metabolite_100015793
692,metabolite_100015831
693,metabolite_100015832
694,metabolite_100015833
695,metabolite_100015834
696,metabolite_100015835
697,metabolite_100015836
698,metabolite_100015837
699,metabolite_100015838
700,metabolite_100015839
701,metabolite_100015840
702,metabolite_100015845
703,metabolite_100015846
704,metabolite_100015962
705,metabolite_100015965
706,metabolite_100015966
707,metabolite_100015967
708,metabolite_100015968
709,metabolite_100015971
710,metabolite_100016038
711,metabolite_100016069
712,metabolite_100016110
713,metabolite_100019794
714,metabolite_100019884
715,metabolite_100019972
716,metabolite_100019975
717,metabolite_100019978
718,metabolite_100019982
719,metabolite_100020004
720,metabolite_100020204
721,metabolite_100020205
722,metabolite_100020208
723,metabolite_100020214
724,metabolite_100020219
725,metabolite_100020234
726,metabolite_100020241
727,metabolite_100020253
728,metabolite_100020254
729,metabolite_100020259
730,metabolite_100020261
731,metabolite_100020262
732,metabolite_100020343
733,metabolite_100020361
734,metabolite_100020371
735,metabolite_100020372
736,metabolite_100020377
737,metabolite_100020378
738,metabolite_100020409
739,metabolite_100020414
740,metabolite_100020419
741,metabolite_100020423
742,metabolite_100020425
743,metabolite_100020478
744,metabolite_100020487
745,metabolite_100020491
