Run,Bases,BioProject,Bytes,stool_sample_id,public_client_id,genome_id,blood_sample_id,blood_days_in_program,stool_days_in_program
SRR18747497,69101304,PRJNA826530,44445994,AV15-1178,01389474,A040AV067-007,A875AS606-002,44,44
SRR27023230,88227195,PRJNA1047679,46277445,22001612560338,01389526,DS-270285,A168BH970-008,17,8
SRR27023252,70131910,PRJNA1047679,44289831,AV15-1072,01391006,A968AR534-005,A968AR547-002,28,28
SRR18749434,43193430,PRJNA826648,22061307,22001612560744,01391396,DS-269271,A055BH164-003,22,9
SRR18747643,72169528,PRJNA826530,44202509,AV15-1420,01392523,A741AU385-007,A741AU408-002,8,8
SRR18749392,141615355,PRJNA826648,77262219,22001612561806,01392716,DS-271954,A711BH740-003,13,4
SRR18749369,114056145,PRJNA826648,64709634,22001612561510,01393107,DS-268882,A089BI752-002,28,12
SRR18748778,218328705,PRJNA826648,122556050,22001612561303,01393734,DS-282188,A313BJ221-009,63,50
SRR18749215,136324615,PRJNA826648,88732559,22001701511912,01394181,DS-291243,A132BK304-002,8,9
SRR18749329,49800905,PRJNA826648,31049795,22001612562337,01394556,DS-265993,A862BF483-003,9,11
SRR18749064,231925645,PRJNA826648,137890912,22001612562158,01395662,DS-280619,A313BJ197-002,26,21
SRR18748842,119087465,PRJNA826648,70025260,22001612560642,01395750,DS-278433,A381BI011-003,21,22
SRR18747440,94264054,PRJNA826530,60326198,AV15-1349,01395894,A046AU700-007,A046AU751-002,15,15
SRR18748024,69123392,PRJNA826530,41528247,AV15-1637,01396990,A626AV117-007,A626AV137-002,19,46
SRR18747395,85902742,PRJNA826530,54711709,AV15-1148,01398050,A563AS485-005,A563AS531-002,35,35
SRR27023058,87685745,PRJNA1047679,54468369,22001612561632,01398191,DS-265990,A862BF481-006,6,6
SRR18747920,61781642,PRJNA826530,39397725,AV15-1055,01398830,A941AR703-005,A941AR762-002,14,14
SRR18749432,84694680,PRJNA826648,44622665,22001612560785,01399040,DS-269470,A808BG170-003,10,13
SRR18748042,113722076,PRJNA826530,74952274,AV15-1616,01399234,A479AV436-007,A479AV473-002,23,42
SRR18748862,125090420,PRJNA826648,71780231,22001612560613,01399987,DS-265278,A089BI810-003,22,7
SRR18749451,127815822,PRJNA826648,72502525,22001612562622,01400682,DS-268574,A137BG411-003,10,11
SRR18748034,145138240,PRJNA826530,97500006,AV15-1675,01400900,A479AV446-006,A479AV476-002,48,66
SRR18749319,67995410,PRJNA826648,40226251,22001612560618,01401611,DS-268854,A089BI769-002,32,37
SRR18747390,56029960,PRJNA826530,35226899,22001612560241,01401924,DS-265719,A579BF707-003,7,12
SRR27023191,191852395,PRJNA1047679,108316599,22001612560916,01402249,DS-279831,A860BI769-005,8,32
SRR18747652,89278190,PRJNA826530,55381945,AV15-1652,01403259,A846AU958-007,A847AU035-002,8,8
SRR18747699,93218890,PRJNA826530,62861936,AV15-1455,01403958,A042AU498-007,A042AU558-002,12,12
SRR27023284,143244465,PRJNA1047679,78588963,22001701512003,01404357,DS-291253,A132BK229-007,62,38
SRR27023250,63977892,PRJNA1047679,37900288,AV15-2065,01404534,DS-161681,A028AY195-002,75,91
SRR18747704,93090378,PRJNA826530,62296169,AV15-1431,01405018,A017AU883-007,A017AU988-002,35,35
SRR18748861,135385110,PRJNA826648,76785314,22001612560615,01405518,DS-271221,A089BI649-002,20,9
SRR18748084,112927410,PRJNA826530,76651296,AV15-1324,01405538,A567AW277-006,A619AT722-002,72,72
SRR27023237,95836361,PRJNA1047679,57975835,22001612562357,01405967,DS-266083,A007BG751-003,13,31
SRR18747577,76394862,PRJNA826530,49490092,AV15-1605,01406300,A479AV439-006,A479AV457-002,10,15
SRR18747656,109393330,PRJNA826530,69716338,AV15-1519,01407392,A617AU660-007,A617AU679-002,21,21
SRR18749286,128744315,PRJNA826648,75367281,22001612561299,01407492,DS-280466,A926BI676-008,19,5
SRR18748085,240594042,PRJNA826530,148163239,AV15-1029,01407694,337668,A941AR608-002,15,15
SRR18749314,50748145,PRJNA826648,30377359,22001612560774,01410286,DS-268029,A203BI324-002,29,31
SRR18749049,222628770,PRJNA826648,127615882,22001612562279,01411311,DS-278775,A146BJ767-002,19,40
SRR27023190,159309465,PRJNA1047679,89456216,22001612561157,01411874,DS-282299,A179BJ685-006,26,6
SRR18749464,116731592,PRJNA826648,64701259,22001612561966,01411965,DS-268556,A137BG433-008,4,12
SRR18748879,112696570,PRJNA826648,61350189,22001612562563,01412199,DS-268736,A447BH924-009,7,16
SRR18747579,93395092,PRJNA826530,60724357,AV15-1602,01412453,A626AV122-007,A626AV140-002,3,7
SRR18748114,69143472,PRJNA826530,38972865,AV15-1327,01414242,A454AW037-007,A619AT720-002,56,56
SRR18749024,298485915,PRJNA826648,182260595,22001701511930,01414861,DS-284629,A773BJ387-002,11,27
SRR18747384,90620036,PRJNA826530,57751774,AV15-1149,01414958,A000AV122-007,A563AS542-002,43,43
SRR18748881,118648355,PRJNA826648,66398113,22001612562547,01415267,DS-267566,A972BH492-003,16,2
SRR18747838,86395204,PRJNA826530,55315024,AV15-1056,01416734,A428AS744-005,A428AS852-002,56,56
SRR18749386,94687110,PRJNA826648,54590101,22001612560728,01417740,DS-268906,A203BI007-011,33,11
SRR27023247,211528242,PRJNA1047679,153063621,AV15-2039,01417884,DS-244897,A843AZ099-002,181,180
SRR18749404,91806120,PRJNA826648,49491139,22001612561483,01419731,DS-268888,A203BI292-002,33,5
SRR18747788,64236924,PRJNA826530,41366502,AV15-3677,01420162,DS-243939,A904AZ311-002,9,13
SRR18748093,97738396,PRJNA826530,66244014,AV15-1295,01421882,A752AT599-004,A752AT612-002,1,1
SRR18747506,95570258,PRJNA826530,61625938,AV15-1160,01423518,A563AS487-005,A563AS534-002,36,36
SRR18747585,42619800,PRJNA826530,26773771,AV15-1042,01423950,A941AR547-005,A941AR580-002,15,15
SRR27023150,77172962,PRJNA1047679,49549626,AV15-2059,01425964,DS-228713,A750AX517-002,59,63
SRR18747927,91353960,PRJNA826530,59218604,AV15-1665,01427135,A565AV502-006,A565AV524-002,12,17
SRR18748890,84451920,PRJNA826648,46710445,22001612561078,01427331,DS-268913,A202BI363-002,33,9
SRR18747680,97196738,PRJNA826530,66022427,AV15-1524,01429418,A017AU836-007,A017AU952-002,11,11
SRR18749134,122903200,PRJNA826648,70128503,22001612562527,01429795,DS-268921,A089BI754-023,31,13
SRR18747443,96210308,PRJNA826530,61711504,AV15-1340,01430754,A127AU588-007,A127AU657-002,44,44
SRR27023075,67117902,PRJNA1047679,41807511,AV15-1883,01431546,DS-231107,A779AW628-002,14,14
SRR18749040,228753700,PRJNA826648,144066124,22001701510625,01431847,DS-288727,A132BK547-002,28,17
SRR18747371,64148572,PRJNA826530,35878200,AV15-1267,01432046,A115AW812-006,A531AT550-002,63,63
SRR18747607,64734406,PRJNA826530,40418277,AV15-1983,01432067,DS-228785,A939AW367-002,28,32
SRR18747469,98553142,PRJNA826530,53770110,AV15-1195,01432894,A950AS421-005,A950AS442-002,71,71
SRR18749381,131267115,PRJNA826648,78174518,22001612561084,01434051,DS-268885,A202BI337-025,29,8
SRR18749378,98495110,PRJNA826648,57639002,22001612561255,01436147,DS-267559,A972BH431-002,19,15
SRR18747641,69252908,PRJNA826530,42107365,AV15-1505,01436412,A538AU193-007,A538AU211-002,20,20
SRR18749228,184286375,PRJNA826648,118142056,22001701510139,01436826,DS-284574,A773BJ694-002,13,23
SRR27023024,149891210,PRJNA1047679,83754104,22001805511438,01436873,DS-279295,A404BO117-008,383,403
SRR27023218,156113720,PRJNA1047679,85558772,22001612560381,01438254,DS-270081,A168BH954-009,13,24
SRR18747670,80993182,PRJNA826530,50807476,AV15-1476,01438754,A127AU581-007,A127AU655-002,37,37
SRR18747465,66257474,PRJNA826530,37288272,AV15-1246,01439998,A619AT715-004,A619AT718-002,57,57
SRR18749333,163541105,PRJNA826648,97158166,22001612561808,01440274,DS-279580,A710BI419-003,14,16
SRR18748809,68492235,PRJNA826648,42732409,22001612561423,01440344,DS-267957,A862BF451-003,10,16
